"","X1","Player","Year","Draft pick","Height (No Shoes)","Height (With Shoes)","Wingspan","Standing reach","Vertical (Max)","Vertical (Max Reach)","Vertical (No Step)","Vertical (No Step Reach)","Weight","Body Fat","Hand (Length)","Hand (Width)","Bench","Agility","Sprint"
"31",30,"Derrick Brown",2009,40,79.5,80.5,86.5,107.5,35.5,143,30.5,138,225,8.6,NA,NA,20,11.26,3.13
"32",31,"Jodie Meeks",2009,41,75,76,76.5,98,37,135,28.5,126.5,211,8,NA,NA,14,10.96,3.1
"33",32,"Marcus Thornton",2009,43,74.75,75.75,77,99,33,132,31,130,194,4.8,NA,NA,14,10.73,3.28
"34",33,"Chase Budinger",2009,44,78.25,79,79,101,38.5,139.5,29.5,130.5,206,10,NA,NA,10,11.08,3.24
"35",34,"Danny Green",2009,46,77.25,78.5,82,103,33,136,29,132,208,5.6,NA,NA,15,11.3,3.3
"36",35,"Gani Lawal",2009,46,79.75,81,84,106,34.5,140.5,30,136,229,7.2,8.5,10,17,11.93,3.34
"37",36,"Jack McClinton",2009,51,71.75,72.75,74.5,96,36.5,132.5,30,126,185,6.2,NA,NA,13,10.44,3.21
"38",37,"A.J. Price",2009,52,72.5,74,75.75,97,31,128,26,123,193,12.4,NA,NA,11,10.99,3.22
"39",38,"Luke Harangody",2009,52,78.25,80,81.75,106,31,137,27,133,240,11.2,8.75,9.75,23,11.15,3.33
"40",39,"Patrick Mills",2009,55,71.25,72.5,74,95,33,128,27.5,122.5,175,6.9,NA,NA,8,10.87,3.1
"41",40,"Jonny Flynn",2009,6,71.25,72.75,76,95.5,40,135.5,33,128.5,196,6.3,NA,NA,10,10.86,3.23
"42",41,"Stephen Curry",2009,7,74,75.25,75.5,97,35.5,132.5,29.5,126.5,181,5.7,NA,NA,10,11.07,3.28
"43",42,"Jordan Hill",2009,8,81.25,82.25,85.5,108,35,143,31,139,232,6,NA,NA,11,12.23,3.3
"44",43,"Demar DeRozan",2009,9,77.5,78.5,81,102.5,38.5,141,29,131.5,211,4.9,NA,NA,5,11.88,3.31
"45",44,"Dionte Christmas",2009,NA,76.25,77.5,81,102.5,33.5,136,27,129.5,211,7.1,NA,NA,3,10.83,3.21
"46",45,"Jeff Adrien",2009,NA,77.25,78.5,86,107.5,31.5,139,27.5,135,236,7.9,NA,NA,16,11.34,3.32
"47",46,"Jerel McNeal",2009,NA,73.5,75,79.25,99.5,36.5,136,31.5,131,190,5.4,NA,NA,10,10.61,3.25
"48",47,"Joe Ingles",2009,NA,79.75,80.25,82.25,105,31,136,26,131,209,10.1,NA,NA,3,10.66,3.3
"49",48,"Josh Heytvelt",2009,NA,82,83,85.25,108,34,142,28.5,136.5,246,10.8,NA,NA,15,11.67,3.38
"50",49,"Tyler Smith",2009,NA,77.25,78,81.75,104.5,33.5,138,29,133.5,212,7,NA,NA,10,10.69,3.24
"51",50,"John Wall",2010,1,74.75,76,81.25,101.5,39,140.5,30,131.5,196,5.6,8.25,9.5,NA,10.84,3.14
"52",51,"Paul George",2010,10,79.75,80.75,83.25,107,NA,NA,NA,NA,214,5,8.5,9,4,NA,NA
"53",52,"Cole Aldrich",2010,11,81,83.25,88.75,111.5,28,139.5,23,134.5,236,8.5,9,9.25,10,11.48,3.35
"54",53,"Xavier Henry",2010,12,77.25,78.5,83.25,105,36.5,141.5,28.5,133.5,210,4.7,8.75,10,8,11.1,3.18
"55",54,"Ed Davis",2010,13,81,81.75,84,108,36,144,31,139,227,10,9.25,10,NA,11.7,3.21
"56",55,"Patrick Patterson",2010,14,80,81.25,85.25,107,33.5,140.5,28.5,135.5,240,5.3,9.25,10.25,17,11.14,3.25
"57",56,"Larry Sanders",2010,15,81.25,82.5,89.75,112,28,140,25.5,137.5,222,4.6,9.75,11,7,12.49,3.27
"58",57,"Luke Babbitt",2010,16,79.5,80.75,83.25,104.5,37.5,142,29.5,134,218,5.6,8.5,10,15,10.98,3.4
"59",58,"Eric Bledsoe",2010,18,72.25,73.5,79.5,98,NA,NA,NA,NA,192,5.6,8.5,9.75,9,NA,NA
"60",59,"Avery Bradley",2010,19,74,75.25,79.25,98.5,37.5,136,31.5,130,180,4,8.25,9.5,2,11.47,3.14
"61",60,"Evan Turner",2010,2,77.75,79,80,103.5,34.5,138,27.5,131,214,8.6,8.75,9.5,9,11.06,3.27
"62",61,"James Anderson",2010,20,76.75,77.75,80.5,104,35.5,139.5,30,134,208,7.9,9,7,14,11.86,3.19
"63",62,"Craig Brackins",2010,21,80.5,81.75,84,109,35,144,26,135,229,7.9,9.5,11.25,6,11.65,3.39
"64",63,"Trevor Booker",2010,23,78.25,79.5,81.75,106,36,142,31,137,236,7.3,9,9.5,22,11.15,3.1
"65",64,"Dominique Jones",2010,25,75.25,77,81.25,101,32.5,133.5,26,127,216,5.9,9,10.25,19,10.88,3.31
"66",65,"Jordan Crawford",2010,27,75,76.5,79,101,34.5,135.5,31.5,132.5,198,4.9,8,9,7,11.03,3.37
"67",66,"Daniel Orton",2010,29,80.75,81.5,88.25,110.5,30.5,141,24,134.5,269,13.8,8.5,9.75,13,12.32,3.39
"68",67,"Derrick Favors",2010,3,80.75,82.25,88,110,35.5,145.5,31.5,141.5,245,6.5,8.75,9.25,14,11.74,3.25
"69",68,"Lazar Hayward",2010,30,76.5,77.75,84.75,102,36,138,31,133,226,7.5,9.25,9.5,15,10.87,3.31
"70",69,"Dexter Pittman",2010,32,81.5,83.5,90,111,NA,NA,NA,NA,303,20.8,10.25,10.5,NA,NA,NA
"71",70,"Hassan Whiteside",2010,33,82.5,83.5,91,113,31.5,144.5,27,140,227,5.5,8.25,10.25,12,11.83,3.54
"72",71,"Armon Johnson",2010,34,74,75.25,80,99.5,38.5,138,31.5,131,195,5.6,8.25,9.25,18,11.25,3.19
"73",72,"Terrico White",2010,36,75.75,77,81,101,40,141,31,132,203,3.7,9,10.5,10,11.38,3.15
"74",73,"Darington Hobson",2010,37,77.25,78.5,81.25,104.5,34,138.5,29,133.5,204,6.2,8.25,9,NA,11.68,3.25
"75",74,"Andy Rautins",2010,38,76.25,77,79,100,30.5,130.5,23.5,123.5,192,6.2,8,9.75,8,11.27,3.49
"76",75,"Wesley Johnson",2010,4,78.25,79.25,85,106,37,143,32,138,206,4.6,9,9.5,16,11.43,3.14
"77",76,"Lance Stephenson",2010,40,76.5,77.75,82.5,103,33,136,27,130,227,9.3,9,10.25,10,11.39,3.38
"78",77,"Jarvis Varnado",2010,41,80.25,82,87.5,109.5,32.5,142,29.5,139,210,9.5,9.25,9.5,3,11.61,3.37
"79",78,"Devin Ebanks",2010,43,79,80.25,84.25,107.5,32,139.5,23.5,131,208,7.9,8.25,9,6,11.69,3.44
"80",79,"Jerome Jordan",2010,44,83.5,84.75,89.25,113,NA,NA,NA,NA,244,6.9,9,10.25,NA,NA,NA
"81",80,"Tiny Gallon",2010,47,80.5,81.5,88.5,109.5,28.5,138,23.5,133,302,15.1,9.25,10.5,14,13.44,3.7
"82",81,"Ryan Richards",2010,49,82.5,83.75,85.5,110,28.5,138.5,25,135,230,8,9,9.75,4,11.33,3.37
"83",82,"DeMarcus Cousins",2010,5,81.5,82.75,89.75,113,27.5,140.5,23.5,136.5,292,16.4,9.25,10,NA,11.4,3.55
"84",83,"Solomon Alabi",2010,50,83.5,84.75,89,113,26,139,22.5,135.5,237,5,9.25,9.25,10,13.2,3.68
"85",84,"Willie Warren",2010,54,74.5,75.75,78,99.5,31.5,131,23,122.5,208,7.6,8.5,9.5,10,11.21,3.5
"86",85,"Derrick Caracter",2010,58,80.25,81.5,84.25,107.25,30.5,137.75,25,132.25,280,12.8,9,10.25,22,12.78,3.61
"87",86,"Stanley Robinson",2010,59,78.5,79.75,84,107.5,37.5,145,NA,NA,213,8.3,9,9,6,11.65,3.23
"88",87,"Ekpe Udoh",2010,6,80.75,81.75,88.5,106.5,33.5,140,31,137.5,237,8,9.5,8.75,10,11.15,3.29
"89",88,"Greg Monroe",2010,7,81.75,83,86.25,108.5,29,137.5,25,133.5,247,11.2,8.75,9.5,15,12.1,3.35
"90",89,"Al-Farouq Aminu",2010,8,79.25,80.5,87.25,108.5,33.5,142,27,135.5,216,8.2,9.5,9.5,13,11.29,3.3
"91",90,"Gordon Hayward",2010,9,78.75,80,79.75,103,34.5,137.5,30.5,133.5,211,6.9,8.5,9.25,10,11.73,3.22
"92",91,"Artsiom Parakhouski",2010,NA,82.25,83.75,85,109.5,26.5,136,25.5,135,268,6,9,10.5,16,12.07,3.33
"93",92,"Charles Garcia",2010,NA,80.25,81.25,85.75,107.5,30.5,138,24.5,132,232,7,8.75,9,2,11.65,3.23
"94",93,"Jon Scheyer",2010,NA,76.75,78,75.25,99,NA,NA,NA,NA,180,5.4,7.75,9.5,NA,NA,NA
"95",94,"Manny Harris",2010,NA,76,77.5,79.25,102,NA,NA,NA,NA,185,3.8,8.5,9,11,NA,NA
"96",95,"Mikhail Torrance",2010,NA,76,NA,78.75,101.75,32,133.75,23,124.75,207,NA,8.75,9.5,8,11.43,3.17
"97",96,"Sherron Collins",2010,NA,70.25,71.75,74.5,94,33,127,27.5,121.5,217,9.2,8.5,9.5,NA,12.31,3.24
"98",97,"Sylven Landesberg",2010,NA,76.75,78.25,81,100.5,32,132.5,28,128.5,210,11.6,8.75,10.75,8,11.59,3.36
"99",98,"Jimmer Fredette",2011,10,72.75,74.5,76.5,96.5,33,129.5,28,124.5,196,7.7,8,8.5,14,10.42,3.21
"100",99,"Klay Thompson",2011,11,77.75,79.25,81,103.5,31.5,135,26.5,130,206,8,8.75,9.25,5,10.99,3.24
"101",100,"Alec Burks",2011,12,77,78,82,103.5,36,139.5,29,132.5,193,5.1,9,8.25,5,10.96,3.17
"102",101,"Markieff Morris",2011,13,79.75,81.25,82.75,106.5,31.5,138,27,133.5,241,10.2,8.5,8.25,11,NA,3.4
"103",102,"Marcus Morris",2011,14,79,80.75,82,105.5,33,138.5,29,134.5,230,8,8.25,8.5,11,NA,3.15
"104",103,"Kawhi Leonard",2011,15,78,79,87,106,32,138,25.5,131.5,227,5.4,9.75,11.25,3,11.45,3.15
"105",104,"Nikola Vucevic",2011,16,82.25,83.75,88.5,112.5,25,137.5,23.5,136,260,6.1,9.25,10.25,8,12.02,3.27
"106",105,"Iman Shumpert",2011,17,76.25,77.5,81.5,99.5,42,141.5,36.5,136,222,6.5,9,9,18,11.1,3.18
"107",106,"Chris Singleton",2011,18,79.75,81,85,103.5,37.5,141,30.5,134,230,7.4,9.25,10,15,11.33,3.09
"108",107,"Tobias Harris",2011,19,78.5,79.75,83,103.5,37.5,141,31.5,135,223,8.4,8.75,9,12,10.96,3.17
"109",108,"Derrick Williams",2011,2,79.25,80.75,85.5,108,34.5,142.5,29,137,248,10.8,9,9.75,19,11.03,3.23
"110",109,"Nolan Smith",2011,21,73.5,75.5,77.5,99,34,133,28.5,127.5,188,5.6,8.5,9.25,9,11.05,3.17
"111",110,"Kenneth Faried",2011,22,78,79.5,84,108,35,143,30.5,138.5,225,6.3,8.5,10.25,16,11.35,3.26
"112",111,"Marshon Brooks",2011,25,76.25,77.25,85,101,38.5,139.5,34,135,195,5.2,9,10.5,5,10.74,3.09
"113",112,"Jordan Hamilton",2011,26,78.75,80.5,81.5,104,32,136,25,129,228,9.8,9,9.25,7,11.47,3.3
"114",113,"JaJuan Johnson (Purdue)",2011,27,81,82,86,107.5,38,145.5,33.5,141,220,7.5,9,10,15,11.21,3.14
"115",114,"Norris Cole",2011,28,72.25,73.75,74.25,95.5,38.5,134,29.5,125,174,4.7,8.5,9.5,11,10.07,3.22
"116",115,"Cory Joseph",2011,29,74,75.25,77.5,99,35,134,27.5,126.5,186,9.7,8.5,10.5,5,10.75,3.27
"117",116,"Enes Kanter",2011,3,81.75,83.25,85.5,109.5,32.5,142,26,135.5,259,5.9,9.5,10.75,14,11.3,3.26
"118",117,"Jimmy Butler",2011,30,78,79.75,79.5,101.5,39,140.5,32,133.5,222,5.4,9,9,14,11.92,3.15
"119",118,"Justin Harper",2011,32,80,80.75,83.75,106,33,139,28.5,134.5,228,4,9,9.25,19,11.92,3.3
"120",119,"Kyle Singler",2011,33,79.5,80.5,82.1,106,30,136,23,129,228,10,8.25,8.75,10,11.22,3.21
"121",120,"Shelvin Mack",2011,34,73,74.5,79.5,96.5,39,135.5,32,128.5,209,7.1,8.25,9.25,17,11.23,3.18
"122",121,"Tyler Honeycutt",2011,35,78.75,80.25,81,105,37,142,30,135,187,5.3,8.5,9.5,NA,11.68,3.07
"123",122,"Jordan Williams",2011,36,79.75,81,84.25,106.5,30.5,137,25,131.5,247,12.1,9.25,10,10,12.74,3.45
"124",123,"Trey Thompkins",2011,37,80.5,81.75,85,107.5,30.5,138,27.5,135,239,15.5,9.25,9.75,15,11.72,3.41
"125",124,"Chandler Parsons",2011,38,80.75,81.75,81.5,104.5,31.5,136,25.5,130,221,7,8.25,10,4,11.05,3.29
"126",125,"Jeremy Tyler",2011,39,81,82.5,89,110.5,33.5,144,28,138.5,262,13.4,9.25,9,10,11.26,3.29
"127",126,"Tristan Thompson",2011,4,79.5,80.75,85.25,108.5,35,143.5,30,138.5,227,6.2,8.75,9.25,9,10.92,3.26
"128",127,"Jon Leuer",2011,40,82,83.5,84,105.5,36.5,142,29.5,135,223,5.4,8.75,9.75,17,10.82,3.36
"129",128,"Darius Morris",2011,41,75.25,77.25,79.5,102,32,134,24.5,126.5,190,5.3,8.75,10,12,11,3.2
"130",129,"Malcolm Lee",2011,43,76,77.5,81.75,101.5,35.5,137,30,131.5,198,5.9,8.5,9.5,17,11.2,3.09
"131",130,"Charles Jenkins",2011,44,73.5,75.25,79.5,96.5,34,130.5,29.5,126,216,4.3,8.5,9,16,11.68,3.18
"132",131,"Andrew Goudelock",2011,46,73.25,74.75,76.25,96.5,37,133.5,32.5,129,198,9.9,8.25,9.25,4,10.33,3.1
"133",132,"Travis Leslie",2011,47,75,76.25,82.5,103,40.5,143.5,33,136,205,8.1,8.75,9.25,10,11,3.13
"134",133,"Keith Benson",2011,48,82,83,87.75,109.5,36,145.5,31.5,141,217,6.1,9.5,11,12,11.88,3.35
"135",134,"Josh Selby",2011,49,73.75,75,77.25,98,42,140,29.5,127.5,195,7.9,8.5,9,5,11.13,3.2
"136",135,"Jon Diebler",2011,51,77.25,78.5,78,99,35,134,28,127,197,8.5,8.25,8.25,2,10.94,3.37
"137",136,"DeAndre Liggins",2011,53,77,78.25,83,103.5,31,134.5,27,130.5,202,5,8.75,10,6,NA,3.33
"138",137,"E'Twaun Moore",2011,55,74.5,76,81.5,99.5,34.5,134,32,131.5,191,7.6,9,10,NA,11.12,3.31
"139",138,"Isaiah Thomas",2011,60,68.75,70.25,73.75,91.5,40,131.5,31.5,123,186,6.7,8.25,9,13,10.49,3.14
"140",139,"Brandon Knight",2011,8,73.5,75.25,78.75,98.5,37.5,136,29,127.5,177,4.2,8.25,9.5,10,10.74,3.07
"141",140,"Kemba Walker",2011,9,71.5,73,75.5,91.5,39.5,131,32,123.5,184,5.9,8,9,7,10.87,3.16
"142",141,"David Lighty",2011,NA,76.75,78.5,80,101,33,134,28.5,129.5,216,6.5,9,10,15,10.81,3.25
"143",142,"Demetri McCamey",2011,NA,73.75,75.25,78.25,99.5,33,132.5,27,126.5,204,6.1,8.5,9,NA,11.55,3.19
"144",143,"Greg Smith",2011,NA,80,81.25,86.5,106.5,36,142.5,29.5,136,253,7.4,9.75,12,17,12.43,3.36
"145",144,"Jamie Skeen",2011,NA,78.5,80,85.25,106.5,30.5,137,26,132.5,242,9.8,8.5,8.5,10,12.43,3.46
"146",145,"Jereme Richmond",2011,NA,78,79.25,82.25,106.5,33.5,140,27,133.5,207,5.5,8.75,9.5,NA,11.74,3.02
"147",146,"LaceDarius Dunn",2011,NA,75,76,78.25,101,31,132,26.5,127.5,188,5.5,9,10.25,3,11.45,3.27
"148",147,"Malcolm Thomas",2011,NA,79.5,80.75,84.5,107.5,36.5,144,32,139.5,223,5.9,9.5,10.5,5,11.31,3.29
"149",148,"Michael Dunigan",2011,NA,80.5,82,87.25,107.5,34.5,142,29.5,137,238,8,9,10.75,10,11.85,3.27
"150",149,"Rick Jackson",2011,NA,80.25,81.25,86,106.5,33,139.5,28.5,135,242,8.3,8.75,9.5,9,11.51,3.26
"151",150,"Scotty Hopson",2011,NA,77.75,78.5,82.5,103.5,36,139.5,32.5,136,205,4.8,8.5,10,10,10.47,3.18
"152",151,"Anthony Davis",2012,1,81.25,82.5,89.5,108,NA,NA,NA,NA,222,7.9,9,8.5,NA,NA,NA
"153",152,"Austin Rivers",2012,10,75.5,77,79.25,96.5,37.5,134,32.5,129,203,6.2,8.5,10,1,11.54,3.32
"154",153,"Meyers Leonard",2012,11,83.75,85.25,87,108,32.5,140.5,30,138,250,5.7,9.25,11,19,11.34,3.41
"155",154,"Jeremy Lamb",2012,12,76,77.25,83,102,38,140,31.5,133.5,179,4.5,8.75,9.25,5,10.98,3.25
"156",155,"Kendall Marshall",2012,13,75.25,76.25,77.5,96,37,133,31,127,198,7.8,8.5,9,NA,12.03,3.23
"157",156,"John Henson",2012,14,81,82.5,89,112,30,142,25.5,137.5,216,8.6,9.25,10,5,NA,NA
"158",157,"Moe Harkless",2012,15,79.25,80.75,84,102.5,37,139.5,32.5,135,207,5.3,9.25,10.25,5,10.87,3.25
"159",158,"Royce White",2012,16,79,80,84,104.5,NA,NA,NA,NA,261,10.6,9.5,11.5,NA,NA,NA
"160",159,"Tyler Zeller",2012,17,83.25,84.5,84,104.5,34,138.5,30,134.5,247,6.4,9,9.75,16,11.13,3.4
"161",160,"Terrence Jones",2012,18,80.25,81.5,86.25,107,34.5,141.5,29.5,136.5,252,7.7,9,10,12,11.57,3.4
"162",161,"Andrew Nicholson",2012,19,80.5,81.5,88,107,30.5,137.5,28.5,135.5,234,7.6,10,10.75,10,11.89,3.67
"163",162,"Michael Kidd-Gilchrist",2012,2,77.75,79.5,84,104.5,35.5,140,32,136.5,233,7,9,10.25,6,11.77,3.18
"164",163,"Jared Sullinger",2012,21,79.75,81,85.25,105.5,31,136.5,29.5,135,268,10.7,9.25,9.75,9,12.77,3.81
"165",164,"Fab Melo",2012,22,82.75,84,86.5,110,31,141,29.5,139.5,255,9.2,9,10,9,12.14,3.44
"166",165,"John Jenkins",2012,23,75.25,76.25,80.5,98,36.5,134.5,30.5,128.5,212,7.1,9,9,10,11.36,3.37
"167",166,"Jared Cunningham",2012,24,75.5,77,78.5,98,NA,NA,NA,NA,188,3.6,8.25,9,4,NA,NA
"168",167,"Tony Wroten",2012,25,76.75,78,81,101,35.5,136.5,30,131,203,5.2,8,9,NA,10.75,3.24
"169",168,"Miles Plumlee",2012,26,82.5,83.75,84.75,105.5,40.5,146,34,139.5,252,11.4,9.25,9,15,10.64,3.36
"170",169,"Arnett Moultrie",2012,27,81.5,82.75,86.25,106.5,37.5,144,33.5,140,233,7.7,9.25,9.25,10,11.32,3.22
"171",170,"Perry Jones",2012,28,82.25,83.25,85.75,107,38.5,145.5,33,140,234,4.6,9.25,9.5,11,11.31,3.19
"172",171,"Marquis Teague",2012,29,73,74,79.25,96.5,40.5,137,32.5,129,180,6.3,8.25,7.75,8,10.65,3.19
"173",172,"Bradley Beal",2012,3,75.25,76.75,80,100,39,139,33,133,202,6,8.5,9,8,10.95,3.28
"174",173,"Festus Ezeli",2012,30,81.75,83.5,89.75,108,33.5,141.5,34,142,264,5.5,9,10.75,18,12.35,3.29
"175",174,"Jeff Taylor",2012,31,78,79.25,78.25,101.5,40,141.5,33.5,135,213,4.2,8.25,9.75,15,10.87,3.29
"176",175,"Tomas Satoransky",2012,32,78.5,79.5,79.25,100,NA,NA,NA,NA,201,5.2,8.5,9.5,NA,NA,NA
"177",176,"Bernard James",2012,33,80.75,82,87,108.5,32.5,141,30,138.5,230,5,9,9.25,6,11.84,3.4
"178",177,"Jae Crowder",2012,34,76.75,78.5,81.25,99.5,34.5,134,31,130.5,241,9,9.5,10.5,20,11.45,3.37
"179",178,"Draymond Green",2012,35,77.75,79.5,85.25,105,33,138,28,133,236,11.3,9,9.5,9,11.01,3.4
"180",179,"Orlando Johnson",2012,36,75.75,77.25,83.25,99,39.5,138.5,32,131,224,7,9,9.5,13,10.98,3.25
"181",180,"Quincy Acy",2012,37,78.5,79.75,86.75,106.5,37,143.5,32,138.5,224,7.1,9.5,11,13,10.48,3.28
"182",181,"Quincy Miller",2012,38,80.75,82,85.25,105,36,141,30.5,135.5,219,7.8,9.25,10.25,8,11.05,3.48
"183",182,"Khris Middleton",2012,39,78.75,80.25,82.75,103,31,134,28,131,216,7.8,9,9,4,11.45,3.47
"184",183,"Dion Waiters",2012,4,74.5,76,79.25,98,NA,NA,NA,NA,221,8.5,8.5,9.5,NA,NA,NA
"185",184,"Will Barton",2012,40,77,78,81.75,102.5,34,136.5,30,132.5,174,4.1,9,9.5,NA,12.5,3.6
"186",185,"Tyshawn Taylor",2012,41,74.75,76,78.25,97.5,36.5,134,32,129.5,177,4.2,8.75,8.75,NA,11.48,3.2
"187",186,"Doron Lamb",2012,42,75.25,76.75,78.75,98.5,33.5,132,29,127.5,199,6.7,8.5,8.75,2,11.12,3.41
"188",187,"Mike Scott",2012,43,79.25,80.75,82.75,104,32.5,136.5,27,131,241,10.6,8.5,9,14,11.59,3.44
"189",188,"Kim English",2012,44,76.5,77.75,78.5,98,36.5,134.5,29,127,192,4.3,8.5,8.75,NA,10.59,3.33
"190",189,"Darius Miller",2012,46,78,79.5,81,101,37,138,33,134,233,7.5,8.5,8.75,14,11.34,3.31
"191",190,"Kevin Murphy",2012,47,77,78.25,78.75,99,36.5,135.5,31,130,194,5.8,8.5,8.5,11,10.97,3.42
"192",191,"Kyle O'Quinn",2012,49,80.5,82,88.75,106.5,31.5,138,31.5,138,241,8,9.5,10,NA,11.65,3.53
"193",192,"Thomas Robinson",2012,5,79.75,80.75,87.25,106,35.5,141.5,28.5,134.5,244,5,9.75,10.5,15,11.96,3.17
"194",193,"Kris Joseph",2012,51,78,79,83,104,35,139,28.5,132.5,215,8.6,9,9,6,NA,3.46
"195",194,"Darius Johnson-Odom",2012,55,73.5,75,79,96,41.5,137.5,33.5,129.5,212,7,8.75,8.75,17,10.76,3.21
"196",195,"Robbie Hummel",2012,58,79.25,80.5,80.5,102,30,132,27.5,129.5,218,9.4,8.5,9.5,13,11.56,3.41
"197",196,"Marcus Denmon",2012,59,74.25,75.25,77,94.5,40,134.5,33.5,128,188,6.6,8.25,9.75,8,10.82,3.19
"198",197,"Damian Lillard",2012,6,73.75,74.75,79.75,95.5,39.5,135,34.5,130,189,5.9,8.75,9.75,13,11.15,3.34
"199",198,"Harrison Barnes",2012,7,79,80,83.25,101.5,39.5,141,38,139.5,228,9.6,9,8.5,15,10.93,3.16
"200",199,"Terrence Ross",2012,8,78,79,79.25,100.5,37.5,138,31,131.5,197,3.2,8.75,10.25,2,11.78,3.28
"201",200,"Andre Drummond",2012,9,81.75,83.75,90.25,109.5,33.5,143,31.5,141,279,7.5,9.5,9.5,10,10.83,3.39
"202",201,"Drew Gordon",2012,NA,80,80.75,83.5,103.5,34,137.5,29,132.5,239,9.1,8.5,9.75,10,11.35,3.49
"203",202,"Henry Sims",2012,NA,82,83.75,88,108,29.5,137.5,26.5,134.5,241,7.7,9.25,10,7,12.33,3.44
"204",203,"Hollis Thompson",2012,NA,78.75,80,81.5,102.5,36.5,139,28.5,131,206,6,8.25,9.75,6,11.72,3.38
